,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3582089552238806,0.0,0.0,0.208955223880597,0.0,0.0,0.0,0.43283582089552236
Defensive Action,0.16666666666666666,0.09375,0.19791666666666666,0.010416666666666666,0.0,0.0625,0.052083333333333336,0.052083333333333336,0.010416666666666666,0.3541666666666667
Duel,0.006666666666666667,0.06666666666666667,0.06,0.0,0.0,0.05333333333333334,0.66,0.0,0.02666666666666667,0.12666666666666668
Foul,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.07692307692307693,0.0,0.07692307692307693
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.42105263157894735,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.2631578947368421,0.0,0.0
Possession,0.03137789904502047,0.0068212824010914054,0.036834924965893585,0.009549795361527967,0.0,0.2783083219645293,0.14188267394270124,0.0068212824010914054,0.005457025920873124,0.4829467939972715
Set Piece / Restart,0.3541666666666667,0.0625,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.3333333333333333,0.0,0.125
Shoot Attempt,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.0,0.0,0.5714285714285714,0.0,0.0
Short Pass,0.04,0.64,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.08
