,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.004673650282030621,0.320870265914585,0.0,0.0,0.2452054794520548,0.0,0.06478646253021757,0.00201450443190975,0.3624496373892023
Defensive Action,0.11127188540008681,0.07394009549992765,0.25068731008537115,0.009622341195196064,0.0,0.08985675010852265,0.09549992765156996,0.08783099406742874,0.002242801331211113,0.27904789466068586
Duel,0.03262291297991844,0.04093252288989767,0.08017234746479956,0.0025390474724936523,0.0,0.029814572593675464,0.6599599907671001,0.005039624528737401,0.021543433099946142,0.12737554820343155
Foul,0.03036322360953462,0.000851305334846765,0.000851305334846765,0.0019863791146424517,0.0,0.016458569807037457,0.9245175936435869,0.0073779795686719635,0.004824063564131668,0.012769580022701475
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2984600730274647,0.18431497063025878,0.2032068582314653,0.021273217971106526,0.0,0.05635815208763296,0.00015875535799333228,0.05111922527385299,0.00015875535799333228,0.1849499920622321
Possession,0.03432374318056617,0.006344072645851474,0.04886890693583068,0.014616245801716632,0.0,0.2274980896700016,0.14153323974197218,0.0033053151600234572,0.016873100776571358,0.5066372860874665
Set Piece / Restart,0.33611078511911746,0.03614599225443023,0.07252669874427885,0.005867855885459453,0.0,0.1052693345851426,0.044830418964910225,0.281187654031217,0.006454641474005399,0.11160661894143879
Shoot Attempt,0.07909744606992314,0.24373915199603274,0.0007438631291842301,0.0,0.1234812794445822,0.0,0.0007438631291842301,0.5521943962310935,0.0,0.0
Short Pass,0.14147037830121342,0.3774446823697359,0.21570306923625981,0.024411134903640257,0.0,0.037116345467523196,0.002569593147751606,0.030549607423269093,0.0,0.1707351891506067
